gene,F,p,eta2,levene_p,normal_all,kruskal_H,kruskal_p
NR3C1,18.720812274881016,1.5389504857927816e-06,0.47130990537975087,0.010861866575674126,True,,
NR3C2,58.518675372100816,7.19040435314339e-13,0.7359110938187501,0.1961906424560972,False,28.12830917874396,7.798575287679746e-07
FKBP5,38.8743545756025,2.7832194220382575e-10,0.6492655303117532,0.00019783584678922163,True,,
